符合條件商品
資料日期：2022年  1月 24日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/24),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 14:30 符合檔數(114)
1	,2354.TW,鴻準,51.4,-1.15,1092,61.5,-13.29,17,自連賣
2	,8163.TW,達方,37.8,-0.13,469,45.7,-10.32,17,自連賣
3	,1305.TW,華夏,26.5,1.15,17566,33.35,-12.71,15,自連賣
4	,6282.TW,康舒,30.4,0.83,1860,32.8,-4.34,14,自連賣
5	,5243.TW,乙盛-KY,59.3,0.51,535,61.2,-1.1,13,自連賣
6	,1477.TW,聚陽,238.5,0,510,233.5,7.46,11,自連賣
7	,2028.TW,威致,29.2,0.69,4120,36.8,-11.65,11,自連賣
8	,2633.TW,台灣高鐵,28.75,-0.52,2418,28.45,3.87,11,自連賣
9	,3706.TW,神達,29.7,-0.17,1384,32.8,-3.35,11,自連賣
10	,2331.TW,精英,21.45,-0.46,679,20.05,6.98,10,自連賣
11	,2406.TW,國碩,18.8,-1.05,970,26,-27.69,10,自連賣
12	,8028.TW,昇陽半導體,57.5,-2.87,2439,49.9,23.6,10,自連賣
13	,2439.TW,美律,79.5,0.63,452,89.4,-6.62,9,自連賣
14	,2605.TW,新興,20.65,-3.5,6563,25.15,-14.53,9,自連賣
15	,2727.TW,王品,158,-1.56,228,124.5,26.91,9,自連賣
16	,2915.TW,潤泰全,66.7,0.15,4192,95.9,-24.61,9,自連賣
17	,3691.TW,碩禾,101.5,0,155,184,-44.84,9,自連賣
18	,5609.TW,中菲行,71.8,-1.64,274,97.5,-18.08,9,自連賣
19	,6244.TW,茂迪,28.35,0,3256,30.35,-5.91,9,自連賣
20	,1301.TW,台塑,86.8,-0.46,6046,105.5,-10.93,8,自連賣
21	,1708.TW,東鹼,40.75,-1.33,1193,31.8,33.91,8,自連賣
22	,2007.TW,燁興,12.7,1.2,8163,17.75,-28.45,8,自連賣
23	,2010.TW,春源,16.25,0.62,682,21.6,-20.58,8,自連賣
24	,2208.TW,台船,19.5,-0.51,1938,20.15,-3.23,8,自連賣
25	,2355.TW,敬鵬,28.95,-0.34,444,35.05,-15.94,8,自連賣
